context_len,option,axi_width,estimated_cycles,estimated_latency_us,estimated_mac_utilization,speedup_vs_current_128,basis,estimate_not_additive
512,current_128_measured,128,7379,90.81846153846153,0.27754438270768395,1.0,Measured state accounting; deterministic randomized stalls,True
512,A_256bit_bus,256,6620,81.47692307692307,0.3093655589123867,1.1146525679758308,Measured 256-bit parameterization under the same stall seed,True
512,B_deeper_K_FIFO,128,6867,84.51692307692308,0.2982379496140964,1.074559487403524,Conservative standalone estimate: remove explicit beat-handoff bubbles only,True
512,C_scale_FIFO_prefetch,128,7379,90.81846153846153,0.27754438270768395,1.0,Scale traffic hidden behind K/MAC after startup; avoids approximately 68 serialized scale cycles,True
512,D_16vector_AXI_bursts,128,4980.875,61.30307692307692,0.41117273571410645,1.4814666097824178,Reduce per-token issue/launch/AR cycles in proportion to transaction count; no overlap,True
512,E_double_buffer,128,5331,65.6123076923077,0.3841680735321703,1.3841680735321704,Overlap current memory path and MAC path; retains per-token result bubbles,True
512,F_continuous_MAC_schedule,128,6867,84.51692307692308,0.2982379496140964,1.074559487403524,Remove one per-token result/control bubble; memory path unchanged,True
512,B_C_D_E_F_combined,128,2120,26.092307692307692,0.9660377358490566,3.4806603773584905,"Analytical v0.2 target: 16-vector bursts, K/scale FIFOs, no beat-handoff or per-token result bubbles, memory/MAC overlap; excludes implementation timing risk",True
4096,current_128_measured,128,59256,729.3046153846154,0.276495207236398,1.0,Measured state accounting; deterministic randomized stalls,True
4096,A_256bit_bus,256,53252,655.4092307692308,0.30766919552317284,1.1127469390821,Measured 256-bit parameterization under the same stall seed,True
4096,B_deeper_K_FIFO,128,55160,678.8923076923077,0.2970268310369833,1.0742567077592458,Conservative standalone estimate: remove explicit beat-handoff bubbles only,True
4096,C_scale_FIFO_prefetch,128,59256,729.3046153846154,0.276495207236398,1.0,Scale traffic hidden behind K/MAC after startup; avoids approximately 520 serialized scale cycles,True
4096,D_16vector_AXI_bursts,128,40045.6875,492.86999999999995,0.40913269375135586,1.4797098938556117,Reduce per-token issue/launch/AR cycles in proportion to transaction count; no overlap,True
4096,E_double_buffer,128,42872,527.6553846153846,0.3821608509050196,1.3821608509050196,Overlap current memory path and MAC path; retains per-token result bubbles,True
4096,F_continuous_MAC_schedule,128,55160,678.8923076923077,0.2970268310369833,1.0742567077592458,Remove one per-token result/control bubble; memory path unchanged,True
4096,B_C_D_E_F_combined,128,16904,208.04923076923077,0.9692380501656412,3.505442498816848,"Analytical v0.2 target: 16-vector bursts, K/scale FIFOs, no beat-handoff or per-token result bubbles, memory/MAC overlap; excludes implementation timing risk",True
