hadamard,granularity,experiment_rows,mean_normalized_qk_logit_rmse,p95_normalized_qk_logit_rmse,worst_normalized_qk_logit_rmse,mean_attention_output_relative_rmse,p95_attention_output_relative_rmse,worst_attention_output_relative_rmse,mean_attention_output_cosine,p95_attention_output_cosine,worst_attention_output_cosine,mean_scale_only_qk_logit_rmse,p95_scale_only_qk_logit_rmse,worst_scale_only_qk_logit_rmse,mean_scale_only_attention_output_rmse,p95_scale_only_attention_output_rmse,worst_scale_only_attention_output_rmse,metadata_bytes_per_k_or_v_token,total_bytes_per_k_or_v_token,effective_bits_per_value,estimated_hadamard_stages,estimated_hadamard_butterflies_per_vector,estimated_hadamard_addsub_outputs_per_vector,mean_output_error_change_vs_no_hadamard_pct,recommended_for_baseline,pareto_nondominated
none,group64,30,0.14073096321674802,0.17301938146543067,0.17409832093314911,0.18964501714783039,0.24652429460784325,0.258181352429502,0.9808721113103603,0.9889081598130554,0.990880570523197,0.002677728792555523,0.0031008390170921985,0.0031445513753328527,0.006072261523616648,0.007693092422989337,0.008030785665571437,2.0,34.0,4.25,0.0,0.0,0.0,0.0,False,True
none,group32,30,0.11803321313125345,0.13572252408936805,0.1365087980464233,0.15885783392006264,0.19297959422370672,0.2125016039543022,0.9865907616856303,0.9911672660806845,0.993449320306169,0.003110656537540027,0.0034713352171045356,0.003479534071854417,0.005911694566697163,0.0069549844454050375,0.008250968104900334,4.0,36.0,4.5,0.0,0.0,0.0,0.0,False,True
none,group16,30,0.09777754024370837,0.10853996264944868,0.1108392149054525,0.13165470132434273,0.15718469034479468,0.16132118189573733,0.990874549973063,0.9935775000415429,0.9938738704724002,0.0036200002005610014,0.0039207620346001296,0.003940194798209667,0.006179812990124289,0.0069783930643903345,0.008661206638602778,8.0,40.0,5.0,0.0,0.0,0.0,0.0,False,True
none,group8,30,0.0786156093475066,0.08442154272169976,0.08690302816317591,0.10576429628173026,0.12103901008576794,0.12693670757996242,0.9941104277982759,0.9955161509472542,0.9957053467117263,0.004272160708393325,0.004484153569693004,0.004493944176825345,0.006717878038784116,0.008055917932481435,0.008650911185349656,16.0,48.0,6.0,0.0,0.0,0.0,0.0,False,True
H4,group64,30,0.11672256063084113,0.12627291966171864,0.12728974971143092,0.16558370908462539,0.18595135624446646,0.21467676167489455,0.9868135682782265,0.989162471558135,0.9900451207605965,0.0029345693467840088,0.0031229162753964933,0.003134137494515121,0.007349754406585471,0.010528626375870168,0.012350864848518057,2.0,34.0,4.25,2.0,64.0,128.0,-12.687550891173139,False,True
H4,group32,30,0.10174175946200371,0.10637736877569634,0.10669229606245989,0.14489278290594257,0.16343795861556684,0.20304030590240404,0.9899301632459917,0.9911994508535125,0.9912119322501948,0.0033489719733651177,0.0034655615572903448,0.0034844425056217445,0.007115037746931869,0.009189145298777922,0.01545626870041858,4.0,36.0,4.5,2.0,64.0,128.0,-8.790911137027901,False,True
H4,group16,30,0.08633479091061047,0.08842571244021684,0.08877980151858869,0.12491391737210017,0.14307692583628517,0.19281289767750884,0.992576721040168,0.9934537028893379,0.9936186386295794,0.003841360463674029,0.003903861032424777,0.003927214284649494,0.007128839658714212,0.009325954035409575,0.013359599769595162,8.0,40.0,5.0,2.0,64.0,128.0,-5.120048038114533,False,True
H4,group8,30,0.07110081490592485,0.073023662247165,0.07356231465677815,0.10615544526209114,0.13995688839567613,0.18742410488757374,0.9949153865833856,0.9956671787583693,0.995950867075599,0.004454519466452455,0.004527651703527961,0.004544195206732518,0.007561898084520086,0.009779424187679598,0.014256288772998877,16.0,48.0,6.0,2.0,64.0,128.0,0.36983083527446503,False,True
H8,group64,30,0.11123980009327572,0.11518704383100303,0.11529126745588529,0.15336062735013503,0.16870449833017137,0.1779486545632485,0.9880617315823437,0.9899663719094591,0.9910334369394679,0.003022649423824032,0.003127082134104232,0.00314870948559964,0.007359024742944364,0.009229419736282286,0.010648663286464721,2.0,34.0,4.25,3.0,96.0,192.0,-19.132793649627644,False,True
H8,group32,30,0.09791590217360396,0.09997435066816465,0.10057720296538339,0.13580231106581084,0.15213510431749594,0.15683090986368875,0.9906435860738474,0.9920944474516152,0.9929824400743327,0.0034199788652615392,0.0034784761959251623,0.0034963467780217317,0.007046232601613374,0.01000213330386652,0.010353850260178607,4.0,36.0,4.5,3.0,96.0,192.0,-14.513305567198753,False,True
H8,group16,30,0.08425403280021641,0.08670338061995574,0.08701890183741681,0.11729953081222003,0.12797162106310475,0.1345985150405002,0.9930731147475841,0.9941761825438468,0.9950024886386832,0.0038912716477412707,0.003971381593935114,0.003984999547681492,0.007250265757582549,0.0103561857895559,0.012647153053228883,8.0,40.0,5.0,3.0,96.0,192.0,-10.90365202892185,False,True
H8,group8,30,0.06992354877962362,0.07285541651302031,0.07303994111537783,0.0970104329198754,0.10384610724927454,0.10533828300850295,0.9952530147195467,0.9959951565657231,0.9961083283035799,0.004507972955796653,0.004655080498756779,0.004728407802035942,0.007679108629681917,0.011017676960419538,0.01249012743198677,16.0,48.0,6.0,3.0,96.0,192.0,-8.276766044503992,False,True
H16,group64,30,0.10810319918153885,0.11109809912846186,0.11154766026310814,0.14860748209939276,0.16889935851002197,0.17455486265378212,0.9886486038691955,0.9905719253265607,0.9913913775192107,0.003101954685069275,0.003159584681415135,0.003178700532405141,0.008515898599877048,0.014218634721423984,0.016490272117353294,2.0,34.0,4.25,4.0,128.0,256.0,-21.639131713357074,False,True
H16,group32,30,0.09606897448230915,0.09828493556286752,0.09875480297816856,0.13110582638918478,0.14246357076391933,0.1491495379444111,0.9912181400342381,0.9930733171570676,0.9936630415552201,0.0034851841791613634,0.003578613674412234,0.0035868391622926802,0.007990239922725139,0.013132628086662927,0.015176148167813767,4.0,36.0,4.5,4.0,128.0,256.0,-17.46971291629388,False,True
H16,group16,30,0.08288163122817695,0.08616481955431896,0.08676564284682928,0.11634936993738587,0.13180432970307007,0.13709637529384072,0.993186985100125,0.9942714651618515,0.9944109400321798,0.0039467500105392125,0.0040626246925181365,0.004079607207484668,0.007893602478285189,0.01343329050311584,0.015429486375556604,8.0,40.0,5.0,4.0,128.0,256.0,-11.625358785517925,False,True
H16,group8,30,0.07052069515009754,0.0725268943841683,0.07284637430465918,0.09883831532496914,0.11021236477719958,0.14766056125673593,0.9951074867575781,0.9960244698298424,0.996306460682317,0.004495357109860916,0.004615908156396373,0.004642297753674794,0.007944619627241845,0.011461031371252775,0.01978340273706426,16.0,48.0,6.0,4.0,128.0,256.0,-6.548505686939943,False,False
H32,group64,30,0.10654381751798603,0.10864833719398373,0.11011577215616376,0.1524929510069934,0.16977547854296293,0.21491135216788795,0.9888448198675858,0.990732974033743,0.9911010385942371,0.003161910268455223,0.0032453294436447016,0.0032512869739650956,0.008559524435204502,0.014370180733573516,0.02268862220020314,2.0,34.0,4.25,5.0,160.0,320.0,-19.59032022015983,False,True
H32,group32,30,0.09468630137501152,0.09799093643559648,0.09844287124049977,0.1343991038807397,0.15157349888319996,0.20114517909940044,0.9913718650702402,0.9927814035287198,0.9938851742308511,0.003533268400882698,0.003648463285624162,0.003662418799879214,0.00806271576834299,0.013501451996498024,0.025009601553296734,4.0,36.0,4.5,5.0,160.0,320.0,-15.396615600103548,False,True
H32,group16,30,0.08367880534794209,0.08590354568727246,0.08602255037538047,0.11364995207097721,0.1264335045610114,0.13528736928247734,0.9933974427269406,0.9947239768669827,0.9953054797129699,0.003949350461100973,0.004068334645651634,0.004074807211269966,0.0074231921585601185,0.01321796970727061,0.015078511831713213,8.0,40.0,5.0,5.0,160.0,320.0,-13.675735900238962,False,True
H32,group8,30,0.0709575816512568,0.07280467715629703,0.07348832586954192,0.0973180283524804,0.10924805228144352,0.11141469126062983,0.9951658151346685,0.9958243492943198,0.9967345619666514,0.004499846124487447,0.004638254444686491,0.004674811362983763,0.008001812194534878,0.013465247985129651,0.023129634354447953,16.0,48.0,6.0,5.0,160.0,320.0,-7.985934976346886,False,False
H64,group64,30,0.1058068570863034,0.10841377424479036,0.10891377305827946,0.1436941493797874,0.1621692172753385,0.1636881328840783,0.9894751768310663,0.9917075681800125,0.9917828028202245,0.0031876810984491446,0.0032945227096063453,0.003338184491679556,0.00911915586250677,0.013870694404025637,0.02172633781619808,2.0,34.0,4.25,6.0,192.0,384.0,-24.22993678353478,False,True
H64,group32,30,0.0954547971109236,0.09800946202336662,0.09849517568010194,0.13165471781080557,0.14387189852154622,0.15684661900859026,0.9912496742787432,0.992615329510913,0.993222697347123,0.003515979501032637,0.003669653545662853,0.003679107782441081,0.00815850679152322,0.011607198035023514,0.02931554356013359,4.0,36.0,4.5,6.0,192.0,384.0,-17.124189243915854,False,True
H64,group16,30,0.08411426148187263,0.0864139805628464,0.086852853982573,0.11724435438111144,0.13164064507085188,0.14719713043322355,0.9931514499928791,0.994284408629781,0.9948859693147091,0.003931919340771128,0.004046427536088326,0.004098827599552003,0.007486134302388988,0.011154678991935528,0.022216169807435994,8.0,40.0,5.0,6.0,192.0,384.0,-10.945561987741058,False,False
H64,group8,30,0.07129840388284439,0.07296914981673772,0.07357530355310844,0.09797872102359716,0.1055453751235984,0.11098552599139606,0.9950958797690189,0.9957740688494332,0.9964081528571661,0.0044901606668893085,0.004590165030770604,0.004624357099543478,0.007584768491987232,0.009030781326948732,0.021857534321738047,16.0,48.0,6.0,6.0,192.0,384.0,-7.361250943696751,False,False
