synthetic_distribution,context_len,head_dim,trials,seed,kv_bits,scale_format,hadamard,hadamard_block,granularity,group_size,normalized_qk_logit_rmse,attention_output_relative_rmse,attention_output_cosine,normalized_logit_bias,normalized_attention_output_bias,k_relative_rmse,v_relative_rmse,quant_only_qk_logit_rmse,quant_only_attention_output_rmse,scale_only_qk_logit_rmse,scale_only_attention_output_rmse,scale_only_k_rmse,scale_only_v_rmse,payload_bytes_per_k_or_v_token,metadata_bytes_per_k_or_v_token,total_bytes_per_k_or_v_token,kv_pair_bytes_per_token,effective_bits_per_value,estimated_hadamard_stages,estimated_hadamard_butterflies_per_vector,estimated_hadamard_addsub_outputs_per_vector
gaussian,128,64,32,283307183,4,Q8.8,none,1,group64,64,0.10659928868883674,0.1532211725373831,0.9884960840017911,-0.0006214965677160923,-0.0027324029242943725,0.1076225628906532,0.10776268144559073,0.10654364078806419,0.15279324529827598,0.0030747593192827216,0.006247232917740969,0.003099596314860663,0.00318148572311764,32.0,2.0,34.0,68.0,4.25,0,0,0
gaussian,128,64,32,283307183,4,Q8.8,none,1,group32,32,0.09666619351944924,0.13765301626013146,0.9909308329187567,-0.0012608366496720173,-0.0025774627874625487,0.09706643460772264,0.09726854759348688,0.0965909236737714,0.13777083661415776,0.003435198253254161,0.005897644013332797,0.003407502826640527,0.0034775608467595537,32.0,4.0,36.0,72.0,4.5,0,0,0
gaussian,128,64,32,283307183,4,Q8.8,none,1,group16,16,0.08529781943754888,0.11748508965596809,0.9932161658379935,-0.0006414718836991868,-0.0015159257097610685,0.08529038452746499,0.08553959500828533,0.08513750346841313,0.11761319274852346,0.003940194798209667,0.005926382920731618,0.0038498342030303173,0.003881444593094735,32.0,8.0,40.0,80.0,5.0,0,0,0
gaussian,128,64,32,283307183,4,Q8.8,none,1,group8,8,0.0714774107540308,0.09938601464775326,0.9950458197574064,0.0014803850285474464,-0.0025293423893976976,0.07184436906346985,0.07195020064312464,0.07127076959363143,0.09941605602520885,0.004493944176825345,0.006612053108534748,0.004441388976741454,0.004437501413306678,32.0,16.0,48.0,96.0,6.0,0,0,0
gaussian,128,64,32,283307183,4,Q8.8,H4,4,group64,64,0.1075247031531325,0.15113111275635482,0.9890164472945316,-0.0012823163712792033,0.00459414464390171,1.4202853040599894,1.4220536159190487,0.1074631863679539,0.1505980876689704,0.003134137494515121,0.006233696628147664,0.0030802173489077227,0.0031257653534850216,32.0,2.0,34.0,68.0,4.25,2,64,128
gaussian,128,64,32,283307183,4,Q8.8,H4,4,group32,32,0.09716949405579597,0.1372214465053214,0.9905687326936466,-0.0008856276416047976,0.0032221915431993355,1.4193979655276494,1.4211122048639564,0.09710200707706099,0.13682319104613352,0.003389073423200974,0.0064231088995986806,0.003407292119428817,0.003450536594838749,32.0,4.0,36.0,72.0,4.5,2,64,128
gaussian,128,64,32,283307183,4,Q8.8,H4,4,group16,16,0.08431251357655573,0.11694271894150939,0.9930443527996549,9.722500589015703e-05,0.0013031489933447529,1.4185747821051478,1.420549655888208,0.0842290206078437,0.11680238303005579,0.003829841316212015,0.006117899523328699,0.003865902717665762,0.0038508238970629454,32.0,8.0,40.0,80.0,5.0,2,64,128
gaussian,128,64,32,283307183,4,Q8.8,H4,4,group8,8,0.07173270399662116,0.0970785746537754,0.9953254547541035,0.0031466770719471293,0.001111953761720445,1.4178971620241894,1.4198093971121053,0.07152184237730014,0.09694996006639457,0.004376811383204104,0.006371742119030813,0.004439568049233241,0.004433686288183937,32.0,16.0,48.0,96.0,6.0,2,64,128
gaussian,128,64,32,283307183,4,Q8.8,H8,8,group64,64,0.10572394124122275,0.1626346701679961,0.9869484784030857,-0.0006831240117968114,0.005576286105610136,1.4191831459027944,1.4183643142137052,0.10562643227053022,0.16320924047290894,0.0030428093960392826,0.006625515949348193,0.003070951512407027,0.00313044786446979,32.0,2.0,34.0,68.0,4.25,3,96,192
gaussian,128,64,32,283307183,4,Q8.8,H8,8,group32,32,0.09493659921649884,0.13893545352644537,0.9903993605489461,-0.0001394662042051118,-0.00044342046087292823,1.4182306133121034,1.4178024638333075,0.09488479897528991,0.1387692925368223,0.0033332359519014495,0.005945237265312478,0.003406947716324043,0.0034322222322647335,32.0,4.0,36.0,72.0,4.5,3,96,192
gaussian,128,64,32,283307183,4,Q8.8,H8,8,group16,16,0.08487161092190058,0.11863509870600134,0.9929042768193056,-0.001548412380281416,-0.003265173908603578,1.4172469230025173,1.4170081283554816,0.08475574900162887,0.11830232660869366,0.0038186665674658955,0.0061513734081002835,0.0038452101387840567,0.003861652335680936,32.0,8.0,40.0,80.0,5.0,3,96,192
gaussian,128,64,32,283307183,4,Q8.8,H8,8,group8,8,0.0729348058187242,0.10246811426284955,0.9946777837323302,-0.0015387878364028012,-0.003110999186940449,1.4165529527854555,1.4162159535366967,0.0727276976016597,0.10200744406862422,0.0043862099880760215,0.006261937947346368,0.0044325360912186905,0.004434554935742535,32.0,16.0,48.0,96.0,6.0,3,96,192
