synthetic_distribution,context_len,head_dim,trials,seed,configuration,kv_bits,scale_format,granularity,group_size,normalized_qk_logit_rmse,attention_output_relative_rmse,attention_output_cosine,normalized_logit_bias,normalized_attention_output_bias,k_relative_rmse,v_relative_rmse,quant_only_qk_logit_rmse,quant_only_attention_output_rmse,scale_only_qk_logit_rmse,scale_only_attention_output_rmse,scale_only_k_rmse,scale_only_v_rmse,payload_bytes_per_k_or_v_token,metadata_bytes_per_k_or_v_token,total_bytes_per_k_or_v_token,kv_pair_bytes_per_token,effective_bits_per_value
gaussian,128,64,32,283307183,FP_reference,FP,none,none,64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,256.0,16.0
gaussian,128,64,32,283307183,Q8_FP_KV,FP,none,none,64,0.0056284960731337276,0.005174651050380224,0.9999870461795762,-7.948319678337648e-05,0.00012761753613740995,0.0,0.0,0.0056284960731337276,0.005174651050380224,0.0,0.0,0.0,0.0,128.0,0.0,128.0,256.0,16.0
gaussian,128,64,32,283307183,Q8_KV8,8,FP16,token64,64,0.008077768612722204,0.00936611317680914,0.9999560249765809,5.1237841608738305e-05,-0.00014749111107394098,0.005941027026404823,0.005929342111587479,0.008073753317543004,0.009356127396571367,0.00021566713461791467,0.0004129059757782079,0.00021767398829626502,0.00021729843087092248,64.0,2.0,66.0,132.0,8.25
gaussian,128,64,32,283307183,Q8_KV5,5,FP16,token64,64,0.04980835006352945,0.06688888355184518,0.9977746671184187,0.00044970324853450155,-0.0001367063914954042,0.05024443351906765,0.050233140568673326,0.049810412025072984,0.06687047447874206,0.00020927102224163065,0.0004097842863183243,0.0002106941913251467,0.00020754370400446882,40.0,2.0,42.0,84.0,5.25
gaussian,128,64,32,283307183,Q8_KV4,4,FP16,token64,64,0.10654532287923403,0.1527837173371472,0.9885436006164356,-0.0005487854528482146,-0.0026540880415329765,0.10757303806315593,0.1077106997493102,0.10654364078806419,0.15279324529827598,0.0001952921934814022,0.00035883687141025447,0.00019675676756460343,0.0001922440321733399,32.0,2.0,34.0,68.0,4.25
gaussian,128,64,32,283307183,Q8_KV3,3,FP16,token64,64,0.24850218400854115,0.3499132988806214,0.9432967614534596,-0.0011818466566458886,0.0069229345493063,0.2510559649239539,0.25079603773554693,0.24849794385940185,0.3499432808292368,0.00018624585380643333,0.0003820774513151304,0.00018571210813579376,0.00018726451234176282,24.0,2.0,26.0,52.0,3.25
gaussian,256,64,32,2740101576,FP_reference,FP,none,none,64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,256.0,16.0
gaussian,256,64,32,2740101576,Q8_FP_KV,FP,none,none,64,0.00599488759294404,0.005826717201468335,0.9999828249170304,9.243264591648477e-05,5.957637007074068e-05,0.0,0.0,0.00599488759294404,0.005826717201468335,0.0,0.0,0.0,0.0,128.0,0.0,128.0,256.0,16.0
gaussian,256,64,32,2740101576,Q8_KV8,8,FP16,token64,64,0.008465658769307641,0.010479123092384968,0.9999465557451854,0.0001716047387571197,0.00025313748437670624,0.005926139874018807,0.005941553687878422,0.008461504837764275,0.010463671457663607,0.00021776850014642283,0.0004705037660056449,0.00022003640912769822,0.0002189930664213207,64.0,2.0,66.0,132.0,8.25
gaussian,256,64,32,2740101576,Q8_KV5,5,FP16,token64,64,0.05062127167467073,0.06953143390187043,0.9975219699390248,-2.1938908311977514e-05,-0.0013852167692487102,0.0501133008795149,0.0503125093734212,0.05062044640670769,0.06952875791254066,0.0002067461624702102,0.0004325262258767223,0.0002085953349564219,0.00020836764371919467,40.0,2.0,42.0,84.0,5.25
