synthetic_distribution,context_len,head_dim,trials,seed,kv_bits,scale_format,granularity,group_size,normalized_qk_logit_rmse,attention_output_relative_rmse,attention_output_cosine,normalized_logit_bias,normalized_attention_output_bias,k_relative_rmse,v_relative_rmse,quant_only_qk_logit_rmse,quant_only_attention_output_rmse,scale_only_qk_logit_rmse,scale_only_attention_output_rmse,scale_only_k_rmse,scale_only_v_rmse,payload_bytes_per_k_or_v_token,metadata_bytes_per_k_or_v_token,total_bytes_per_k_or_v_token,kv_pair_bytes_per_token,effective_bits_per_value
gaussian,128,64,32,283307183,4,FP32,run,8192,0.15718480233014845,0.2119827307916158,0.9781306431698282,-0.0030632167546686745,-0.002689323904344342,0.1595176315230482,0.1560267028837502,0.15718480233014845,0.2119827307916158,0.0,0.0,0.0,0.0,32.0,0.03125,32.03125,64.0625,4.00390625
gaussian,128,64,32,283307183,4,FP16,run,8192,0.15717508184762635,0.21193271860597504,0.9781361358269374,-0.0030603568597052863,-0.0026861515352635396,0.15950575435457767,0.15603515473953308,0.15718480233014845,0.2119827307916158,0.00026950230625586563,0.00041943902855471384,0.00026764767037814474,0.00025108963756787785,32.0,0.015625,32.015625,64.03125,4.001953125
gaussian,128,64,32,283307183,4,Q8.8,run,8192,0.15718830347534424,0.21224139215339782,0.9781258792626355,-0.00305351353392993,-0.002656648726098897,0.15952109516730933,0.15614025002778328,0.15718480233014845,0.2119827307916158,0.002117646181405538,0.0031413852312916824,0.0021083818342080007,0.0021690510852524713,32.0,0.015625,32.015625,64.03125,4.001953125
gaussian,128,64,32,283307183,4,FP32,token64,64,0.10654364078806419,0.15279324529827598,0.9885433743151498,-0.0005538361882232514,-0.00265881067126594,0.10757247276477754,0.10770938673223483,0.10654364078806419,0.15279324529827598,0.0,0.0,0.0,0.0,32.0,4.0,36.0,72.0,4.5
gaussian,128,64,32,283307183,4,FP16,token64,64,0.10654532287923403,0.1527837173371472,0.9885436006164356,-0.0005487854528482146,-0.0026540880415329765,0.10757303806315593,0.1077106997493102,0.10654364078806419,0.15279324529827598,0.0001952921934814022,0.00035883687141025447,0.00019675676756460343,0.0001922440321733399,32.0,2.0,34.0,68.0,4.25
gaussian,128,64,32,283307183,4,Q8.8,token64,64,0.10659928868883674,0.1532211725373831,0.9884960840017911,-0.0006214965677160923,-0.0027324029242943725,0.1076225628906532,0.10776268144559073,0.10654364078806419,0.15279324529827598,0.0030747593192827216,0.006247232917740969,0.003099596314860663,0.00318148572311764,32.0,2.0,34.0,68.0,4.25
gaussian,128,64,32,283307183,4,FP32,group32,32,0.0965909236737714,0.13777083661415776,0.990904644477568,-0.0011302597014199523,-0.0025010575164778853,0.09700423496977688,0.0971991549394074,0.0965909236737714,0.13777083661415776,0.0,0.0,0.0,0.0,32.0,8.0,40.0,80.0,5.0
gaussian,128,64,32,283307183,4,FP16,group32,32,0.09658952028702157,0.13776487557393174,0.9909035450754426,-0.0011276620800420288,-0.0024960606549679527,0.09700485484284223,0.09719992021421676,0.0965909236737714,0.13777083661415776,0.0002100804925838792,0.000339687472132226,0.0002119081631059516,0.0002081635502099019,32.0,4.0,36.0,72.0,4.5
gaussian,128,64,32,283307183,4,Q8.8,group32,32,0.09666619351944924,0.13765301626013146,0.9909308329187567,-0.0012608366496720173,-0.0025774627874625487,0.09706643460772264,0.09726854759348688,0.0965909236737714,0.13777083661415776,0.003435198253254161,0.005897644013332797,0.003407502826640527,0.0034775608467595537,32.0,4.0,36.0,72.0,4.5
gaussian,128,64,32,283307183,4,FP32,group16,16,0.08513750346841313,0.11761319274852346,0.9931996041496832,-0.0005623851056538444,-0.0014264762907920064,0.08520238974811949,0.08544516238605736,0.08513750346841313,0.11761319274852346,0.0,0.0,0.0,0.0,32.0,16.0,48.0,96.0,6.0
