head_dim,context_len,kv_bits,granularity,scale_format,payload_bytes_per_k_or_v_token,metadata_bytes_per_k_or_v_token,total_bytes_per_k_or_v_token,kv_pair_bytes_per_token,effective_bits_per_value,row_major_fp16_bytes,row_major_int8_bytes,equal_dim_bitsliced_int8_bytes,compression_vs_row_major_fp16,compression_vs_row_major_int8,compression_vs_equal_dim_bitsliced_int8,actual_existing_128d_bytes,compression_vs_actual_existing_128d,actual_existing_comparison_is_equal_dim
64,128,4,run,Q8.8,32.0,0.015625,32.015625,64.03125,4.001953125,128.0,64.0,128.0,3.9980478282088825,1.9990239141044412,3.9980478282088825,256.0,7.996095656417765,False
64,128,4,token64,Q8.8,32.0,2.0,34.0,68.0,4.25,128.0,64.0,128.0,3.764705882352941,1.8823529411764706,3.764705882352941,256.0,7.529411764705882,False
64,128,4,group32,Q8.8,32.0,4.0,36.0,72.0,4.5,128.0,64.0,128.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,7.111111111111111,False
64,128,4,group16,Q8.8,32.0,8.0,40.0,80.0,5.0,128.0,64.0,128.0,3.2,1.6,3.2,256.0,6.4,False
64,128,4,group8,Q8.8,32.0,16.0,48.0,96.0,6.0,128.0,64.0,128.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,5.333333333333333,False
64,256,4,run,Q8.8,32.0,0.0078125,32.0078125,64.015625,4.0009765625,128.0,64.0,128.0,3.9990236758603857,1.9995118379301928,3.9990236758603857,256.0,7.998047351720771,False
64,256,4,token64,Q8.8,32.0,2.0,34.0,68.0,4.25,128.0,64.0,128.0,3.764705882352941,1.8823529411764706,3.764705882352941,256.0,7.529411764705882,False
64,256,4,group32,Q8.8,32.0,4.0,36.0,72.0,4.5,128.0,64.0,128.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,7.111111111111111,False
64,256,4,group16,Q8.8,32.0,8.0,40.0,80.0,5.0,128.0,64.0,128.0,3.2,1.6,3.2,256.0,6.4,False
64,256,4,group8,Q8.8,32.0,16.0,48.0,96.0,6.0,128.0,64.0,128.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,5.333333333333333,False
64,512,4,run,Q8.8,32.0,0.00390625,32.00390625,64.0078125,4.00048828125,128.0,64.0,128.0,3.9995117783473697,1.9997558891736849,3.9995117783473697,256.0,7.999023556694739,False
64,512,4,token64,Q8.8,32.0,2.0,34.0,68.0,4.25,128.0,64.0,128.0,3.764705882352941,1.8823529411764706,3.764705882352941,256.0,7.529411764705882,False
64,512,4,group32,Q8.8,32.0,4.0,36.0,72.0,4.5,128.0,64.0,128.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,7.111111111111111,False
64,512,4,group16,Q8.8,32.0,8.0,40.0,80.0,5.0,128.0,64.0,128.0,3.2,1.6,3.2,256.0,6.4,False
64,512,4,group8,Q8.8,32.0,16.0,48.0,96.0,6.0,128.0,64.0,128.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,5.333333333333333,False
64,1024,4,run,Q8.8,32.0,0.001953125,32.001953125,64.00390625,4.000244140625,128.0,64.0,128.0,3.9997558742752517,1.9998779371376258,3.9997558742752517,256.0,7.999511748550503,False
64,1024,4,token64,Q8.8,32.0,2.0,34.0,68.0,4.25,128.0,64.0,128.0,3.764705882352941,1.8823529411764706,3.764705882352941,256.0,7.529411764705882,False
64,1024,4,group32,Q8.8,32.0,4.0,36.0,72.0,4.5,128.0,64.0,128.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,7.111111111111111,False
64,1024,4,group16,Q8.8,32.0,8.0,40.0,80.0,5.0,128.0,64.0,128.0,3.2,1.6,3.2,256.0,6.4,False
64,1024,4,group8,Q8.8,32.0,16.0,48.0,96.0,6.0,128.0,64.0,128.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,5.333333333333333,False
64,2048,4,run,Q8.8,32.0,0.0009765625,32.0009765625,64.001953125,4.0001220703125,128.0,64.0,128.0,3.9998779334126766,1.9999389667063383,3.9998779334126766,256.0,7.999755866825353,False
64,2048,4,token64,Q8.8,32.0,2.0,34.0,68.0,4.25,128.0,64.0,128.0,3.764705882352941,1.8823529411764706,3.764705882352941,256.0,7.529411764705882,False
64,2048,4,group32,Q8.8,32.0,4.0,36.0,72.0,4.5,128.0,64.0,128.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,7.111111111111111,False
64,2048,4,group16,Q8.8,32.0,8.0,40.0,80.0,5.0,128.0,64.0,128.0,3.2,1.6,3.2,256.0,6.4,False
64,2048,4,group8,Q8.8,32.0,16.0,48.0,96.0,6.0,128.0,64.0,128.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,5.333333333333333,False
64,4096,4,run,Q8.8,32.0,0.00048828125,32.00048828125,64.0009765625,4.00006103515625,128.0,64.0,128.0,3.9999389657750584,1.9999694828875292,3.9999389657750584,256.0,7.999877931550117,False
64,4096,4,token64,Q8.8,32.0,2.0,34.0,68.0,4.25,128.0,64.0,128.0,3.764705882352941,1.8823529411764706,3.764705882352941,256.0,7.529411764705882,False
64,4096,4,group32,Q8.8,32.0,4.0,36.0,72.0,4.5,128.0,64.0,128.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,7.111111111111111,False
64,4096,4,group16,Q8.8,32.0,8.0,40.0,80.0,5.0,128.0,64.0,128.0,3.2,1.6,3.2,256.0,6.4,False
64,4096,4,group8,Q8.8,32.0,16.0,48.0,96.0,6.0,128.0,64.0,128.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,5.333333333333333,False
128,128,4,run,Q8.8,64.0,0.015625,64.015625,128.03125,4.0009765625,256.0,128.0,256.0,3.9990236758603857,1.9995118379301928,3.9990236758603857,256.0,3.9990236758603857,True
128,128,4,token64,Q8.8,64.0,2.0,66.0,132.0,4.125,256.0,128.0,256.0,3.878787878787879,1.9393939393939394,3.878787878787879,256.0,3.878787878787879,True
128,128,4,group32,Q8.8,64.0,8.0,72.0,144.0,4.5,256.0,128.0,256.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,3.5555555555555554,True
128,128,4,group16,Q8.8,64.0,16.0,80.0,160.0,5.0,256.0,128.0,256.0,3.2,1.6,3.2,256.0,3.2,True
128,128,4,group8,Q8.8,64.0,32.0,96.0,192.0,6.0,256.0,128.0,256.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,2.6666666666666665,True
128,256,4,run,Q8.8,64.0,0.0078125,64.0078125,128.015625,4.00048828125,256.0,128.0,256.0,3.9995117783473697,1.9997558891736849,3.9995117783473697,256.0,3.9995117783473697,True
128,256,4,token64,Q8.8,64.0,2.0,66.0,132.0,4.125,256.0,128.0,256.0,3.878787878787879,1.9393939393939394,3.878787878787879,256.0,3.878787878787879,True
128,256,4,group32,Q8.8,64.0,8.0,72.0,144.0,4.5,256.0,128.0,256.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,3.5555555555555554,True
128,256,4,group16,Q8.8,64.0,16.0,80.0,160.0,5.0,256.0,128.0,256.0,3.2,1.6,3.2,256.0,3.2,True
128,256,4,group8,Q8.8,64.0,32.0,96.0,192.0,6.0,256.0,128.0,256.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,2.6666666666666665,True
128,512,4,run,Q8.8,64.0,0.00390625,64.00390625,128.0078125,4.000244140625,256.0,128.0,256.0,3.9997558742752517,1.9998779371376258,3.9997558742752517,256.0,3.9997558742752517,True
128,512,4,token64,Q8.8,64.0,2.0,66.0,132.0,4.125,256.0,128.0,256.0,3.878787878787879,1.9393939393939394,3.878787878787879,256.0,3.878787878787879,True
128,512,4,group32,Q8.8,64.0,8.0,72.0,144.0,4.5,256.0,128.0,256.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,3.5555555555555554,True
128,512,4,group16,Q8.8,64.0,16.0,80.0,160.0,5.0,256.0,128.0,256.0,3.2,1.6,3.2,256.0,3.2,True
